steps,timestamp,x_pos,y_pos,z_pos,x_vel,y_vel
61,15350.55.00,-727723.47.00,-131597.13.00,-981587.25.00,-6059.01.00,67821.53.00
62,15469.29.00,-727872.26.00,-131597.46.00,-977030.24.00,-703948.14.00,801994.16.00
63,22.192.755.699.999.900,-728286.52.00,-131596.47.00,-969477.56.00,-629648.01.00,59241.18.00
64,22.193.493.099.999.900,-728415.12.00,-13161.33.00,-964.36.00,-68031.47.00,1064639.16.00
65,16003.12.00,-72884.06.00,-131597.03.00,-956427.03.00,-693613.44.00,-54148.52.00
66,22.195.565.499.999.900,-72901.54.00,-131598.36.00,-951338.45.00,-748925.04.00,67903.36.00
67,16336.15.00,-729471.34.00,-131598.12.00,-942550.47.00,-686518.56.00,"-9,89E+00"
68,16472.06.00,-729657.57.00,-131599.17.00,-936824.57.00,-783567.47.00,122156.47.00
69,16680.21.00,-730112.34.00,-131598.32.00,-927314.36.00,-714779.27.00,"-3,21E+01"
70,16803.15.00,-730299.57.00,-13161.45.00,-92109.42.00,-8072.56.00,134455.05.00
71,352.13.00,-73073.23.00,-131597.49.00,-910628.46.00,-703747.37.00,43561.29.00
72,22.201.487.999.999.900,-730864.35.00,-13161.34.00,-903956.54.00,-79217.16.00,1396976.35.00
73,681.28.00,-731361.13.00,-13161.27.00,-89276.15.00,-76029.21.00,174968.48.00
74,806.15.00,-73150.14.00,-131596.13.00,-88566.36.00,-781134.24.00,241212.08.00
75,22.204.755.899.999.900,-731960.52.00,-131594.16.00,-8738.24.00,-780897.04.00,"1,84E+02"
76,1139.52.00,-732100.34.00,-131592.58.00,-866394.55.00,-80211.48.00,325755.06.00
77,22.206.756.199.999.900,-732533.04.00,-131590.13.00,-85381.21.00,-749787.47.00,"4,21E+02"
78,22.207.500.399.999.900,-73259.58.00,-131588.14.00,-845999.35.00,-771341.23.00,359232.14.00
79,1670.06.00,-73298.29.00,-131585.18.00,-832486.43.00,-684012.07.00,107176.44.00
80,1813.03.00,-733015.56.00,-131583.26.00,-82449.15.00,-782883.34.00,300616.25.00
81,2470.29.00,-73375.49.00,-131573.13.00,-777993.43.00,-733324.57.00,324901.24.00
82,22.214.753.299.999.900,-73400.47.00,-13158.42.00,-762946.24.00,-68113.23.00,3270.47.00
83,2805.37.00,-73393.43.00,-131565.37.00,-754012.44.00,-68020.47.00,173139.17.00
84,3014.31.00,-734126.38.00,-131562.12.00,-738823.14.00,-679772.44.00,300944.47.00
85,3138.56.00,-73405.52.00,-131559.42.00,-729902.24.00,-73417.44.00,235756.36.00
86,3336.46.00,-734289.14.00,-131555.46.00,-71368.54.00,-71720.04.00,179327.34.00
87,3481.19.00,-734238.05.00,-1317.31.00,-70468.35.00,-718841.06.00,308737.34.00
88,22.220.699.499.999.900,-73447.44.00,-131550.08.00,-688132.42.00,-70033.39.00,273868.06.00
89,22.221.554.999.999.900,-734361.45.00,-131546.52.00,-679155.08.00,-68892.37.00,372246.18.00
90,600.09.00,-734555.47.00,-131541.42.00,-662314.16.00,-6773.12.00,29006.01.00
91,22.223.502.299.999.900,-73446.29.00,-131538.34.00,-652674.46.00,-754732.24.00,388673.44.00
92,4347.51.00,-734708.57.00,-13155.13.00,-635653.33.00,-84567.32.00,322927.27.00
93,22.225.493.899.999.900,-7346.41.00,-131530.35.00,-62606.56.00,-686928.05.00,41796.46.00
94,22.226.753.399.999.900,-734895.13.00,-13154.27.00,-608838.25.00,-70428.54.00,535150.38.00
95,4807.05.00,-73483.11.00,-131523.59.00,-59943.29.00,-840882.04.00,290905.56.00
96,5014.16.00,-735009.43.00,-131520.08.00,-581918.36.00,-751971.07.00,33627.48.00
97,5136.57.00,-734971.24.00,-13153.33.00,-572586.52.00,-59196.33.00,492996.16.00
98,5351.24.00,-73518.06.00,-131513.44.00,-555166.44.00,-655145.37.00,577190.02.00
99,5469.36.00,-735111.32.00,-13152.58.00,-546126.52.00,-918507.16.00,362694.37.00
100,22.232.752.499.999.900,-735426.53.00,-131508.34.00,-528647.34.00,-910762.47.00,299516.38.00
