steps,timestamp,x_pos,y_pos,z_pos,x_vel,y_vel
65,4114.35.00,26030.12.00,-317962.38.00,-948506.32.00,-493022.37.00,593674.22.00
66,4281.59.00,26024.33.00,-31793.44.00,-937831.24.00,-392310.15.00,5825.37.00
67,4451.47.00,26018.43.00,-317915.59.00,-926655.13.00,-578350.37.00,70393.28.00
68,20.426.472.199.999.900,26013.07.00,-317883.41.00,-914968.18.00,-411343.34.00,579471.37.00
69,20.427.477.499.999.900,26007.02.00,-317853.55.00,-902747.07.00,-51341.55.00,823653.55.00
70,4950.29.00,26001.07.00,-317820.41.00,-889996.56.00,-553613.08.00,548556.31.00
71,5118.57.00,25994.28.00,-317786.48.00,-876652.05.00,-511166.52.00,839737.47.00
72,5284.49.00,25988.33.00,-317751.49.00,-862749.14.00,-55406.25.00,639364.28.00
73,5451.54.00,25982.02.00,-31771.01.00,-848350.44.00,-44691.49.00,76356.41.00
74,745.32.00,2599.24.00,-317673.22.00,-83337.35.00,-628802.44.00,69410.33.00
75,20.433.493.299.999.900,25969.38.00,-317621.05.00,-817876.07.00,-522702.07.00,736056.36.00
76,5953.37.00,25963.07.00,-317580.55.00,-801.43.00,-61420.46.00,802860.17.00
77,20.435.518.299.999.900,25956.55.00,-317527.58.00,-78491.57.00,-516104.17.00,71275.37.00
78,6298.21.00,25951.17.00,-317514.11.00,-77009.12.00,-54621.45.00,90370.48.00
79,6454.46.00,25945.53.00,-317491.52.00,-754722.27.00,-54928.33.00,785072.53.00
80,6621.55.00,25940.12.00,-317469.07.00,-738795.17.00,-513717.44.00,858587.03.00
81,6792.15.00,25934.52.00,-317444.56.00,-722292.52.00,-587010.06.00,772517.52.00
82,6956.29.00,25929.02.00,-317420.22.00,-70527.16.00,-551445.57.00,7991.44.00
83,20.441.514.999.999.900,2594.07.00,-317396.13.00,-687780.06.00,-671196.44.00,79697.06.00
84,7291.42.00,2593.31.00,-317366.39.00,-669773.03.00,-587375.13.00,771484.44.00
85,7472.26.00,25913.13.00,-31732.28.00,-654175.56.00,-542532.16.00,9276.29.00
86,7624.34.00,25909.55.00,-317274.42.00,-63818.56.00,-635144.18.00,785509.54.00
87,7806.54.00,2592.24.00,-317249.06.00,-623344.56.00,-534152.55.00,809946.06.00
88,7958.56.00,25902.08.00,-31722.08.00,-607953.13.00,-594542.29.00,1033607.48.00
89,20.447.533.299.999.900,25898.33.00,-317193.03.00,-59197.48.00,-68034.32.00,782964.03.00
90,8308.05.00,2591.23.00,-317145.26.00,-577037.36.00,-53120.45.00,843338.26.00
91,8460.34.00,2591.04.00,-317099.01.00,-56152.56.00,-541590.02.00,920592.34.00
92,8637.56.00,2590.48.00,-31706.04.00,-546540.08.00,-631512.39.00,1078332.14.00
93,20.451.545.399.999.900,2590.32.00,-31702.39.00,-53097.02.00,-625790.31.00,968685.27.00
94,20.452.562.799.999.900,25884.38.00,-316991.56.00,-514752.18.00,-648933.46.00,809192.25.00
95,9131.45.00,25882.08.00,-316947.57.00,-497935.56.00,-56906.04.00,88520.03.00
96,20.454.616.299.999.900,25879.38.00,-316918.49.00,-48191.38.00,-553545.53.00,971623.32.00
97,9466.19.00,2589.29.00,-316888.16.00,-465165.29.00,-626342.08.00,1125250.15.00
98,20.456.561.499.999.900,2589.12.00,-316855.01.00,-447746.18.00,-63249.47.00,1071395.26.00
99,20.457.563.199.999.900,2588.52.00,-316823.13.00,-429579.07.00,-691980.26.00,1025908.56.00
100,20.458.566.199.999.900,260.39.00,-316789.16.00,-410713.38.00,-81765.51.00,948.56.00
